subjects	S	condition	R	rt
1	left	sugar	left	0.395987835471875
1	right	sugar	right	0.282943970745443
1	right	sugar	right	0.223953640350096
1	right	sugar	right	0.504330858253276
1	right	sugar	right	0.225434840888859
1	left	sugar	left	0.491884666034004
1	left	sugar	right	0.979717635623067
1	right	sugar	right	0.944704463740044
1	left	sugar	left	0.630153748818331
1	right	sugar	right	0.513771586347719
1	left	sugar	right	0.363415454041108
1	left	sugar	right	0.365842313842617
1	right	sugar	left	0.280592126774889
1	left	sugar	left	0.275663899925706
1	left	sugar	left	0.437901757904417
1	right	sugar	left	1.19267446722225
1	right	sugar	right	0.193411074443585
1	right	sugar	left	0.447959599526089
1	left	sugar	right	0.267761909179655
1	left	sugar	right	0.394574584370226
1	left	sugar	right	0.198961189355366
1	left	sugar	left	0.346958925673666
1	left	sugar	right	0.450593541502366
1	right	sugar	right	0.457845339633876
1	left	sugar	left	0.760799768557276
1	left	sugar	left	0.741663314650912
1	right	sugar	right	0.685842775254267
1	left	sugar	left	0.651809209495308
1	right	sugar	right	0.286965102513379
1	right	sugar	right	0.818917642879226
1	left	sugar	right	0.333096163444681
1	right	sugar	right	0.443919451745627
1	right	sugar	left	0.319536778911543
1	right	sugar	right	0.34942371397711
1	left	sugar	left	0.879661642917799
1	left	sugar	right	0.528012639755614
1	left	sugar	right	0.432327871787152
1	left	sugar	left	0.267448161809327
1	left	sugar	left	0.394147768851998
1	left	sugar	left	0.260285187073911
1	left	sugar	left	0.378487318942831
1	left	sugar	left	0.263060466338625
1	left	sugar	right	0.220183460476043
1	right	sugar	right	0.729209913458948
1	left	sugar	left	0.299307779744548
1	left	sugar	right	0.251913160398712
1	left	sugar	right	1.07444375188637
1	right	sugar	right	0.285330683650574
1	left	sugar	left	0.238908642716395
1	left	sugar	left	0.283370696680856
1	left	sugar	left	0.534096243318126
1	left	sugar	right	0.699650589210921
1	right	sugar	right	0.249993092427563
1	left	sugar	left	0.470225861404871
1	right	sugar	right	0.262256263434504
1	right	sugar	right	0.813266069555267
1	left	sugar	left	0.282232410289907
1	left	sugar	right	0.312767188984833
1	left	sugar	left	0.334397594218453
1	left	sugar	right	0.587228616446142
1	right	sugar	right	0.505910001920771
1	left	sugar	left	0.63157625018877
1	left	sugar	right	0.8482189672229
1	right	sugar	right	0.966560252235729
1	right	sugar	right	0.618459820847432
1	left	sugar	left	0.296210737841637
1	left	sugar	right	0.525057523743758
1	left	sugar	right	0.549461376207699
1	right	sugar	right	0.345253140045097
1	left	sugar	right	0.397613364566439
1	right	sugar	right	0.416296983620549
1	left	sugar	left	0.21689389035757
1	right	sugar	left	0.258589460606688
1	left	sugar	left	0.644858276842816
